cod,cobertura_telemetria_pct,abaixo_10pct,nome,rio
02851044,0.00,1,GUAPORÉ,
02851072,0.00,1,IBIRAIARAS,
02851080,0.00,1,CGH SÃO DOMINGOS DO PRATA BARRAMENTO,
02851092,0.00,1,CSG IPÊ - 1171,
02851093,0.00,1,CSG ANTÔNIO PRADO - 1248,
02851156,0.00,1,CSG CAPELA DE SANTANA - 1250,
02851157,0.00,1,CSG SÃO SEBASTIÃO DO CAI - 1257,
02852004,0.00,1,AULER,
02852079,0.00,1,CGH LINHA CURUÇU JUSANTE,
02950045,0.00,1,CAPÃO DOS COXOS,
02950108,0.00,1,FAZENDA TAIPAS - S.F. DE PAULA,
02950118,0.00,1,PZ_PAROBÉ,
02951142,0.00,1,MORRO REUTER,
02951146,0.00,1,CGH BOA VISTA BARRAMENTO,
02951154,0.00,1,CSG CARLOS BARBOSA - 1197,
02951155,0.00,1,CSG FARROUPILHA - 1215,
02952065,0.00,1,FAZ. SÃO JOSÉ LINHA CARVALHO,
02953073,0.00,1,RINCÃO DO HERVAL CERRO BRANCO,
03051043,0.00,1,PORTO ALEGRE - CPRM,
03053021,0.00,1,BARRO VERMELHO,
03054028,0.00,1,AGROP. SEGREDO - MARCO DAS ÁGUAS,
85029000,63.09,0,PCH ERNESTINA MONTANTE,RIO JACUÍ
85029500,0.00,1,PCH ERNESTINA ARROIO CONCEIÇÃO,ARROIO SEM NOME
85040000,67.97,0,PCH ERNESTINA ARROIO TRÊS PASSOS,ARROIO TRÊS PASSOS
85050001,59.63,0,PCH ERNESTINA BARRAMENTO,RIO JACUÍ
85050070,0.00,1,PCH ERNESTINA JUSANTE 1,RIO JACUÍ
85050100,51.46,0,PCH ERNESTINA JUSANTE 2,RIO JACUÍ
85050200,44.02,0,PCH TIO HUGO BARRAMENTO,RIO JACUÍ
85050300,43.79,0,PCH TIO HUGO JUSANTE,RIO JACUÍ
85050350,26.01,0,PCH SANTO ANTÔNIO DO JACUÍ MONTANTE,RIO JACUÍ
85051000,1.59,1,PCH SANTO ANTONIO DO JACUÍ BARRAMENTO,RIO JACUÍ
85074000,96.07,0,PCH COTOVELO DO JACUÍ BARRAMENTO,RIO JACUÍ
85076000,86.31,0,PCH COTOVELO DO JACUÍ JUSANTE,RIO JACUÍ
85080001,52.13,0,UHE PASSO REAL MONTANTE 2,RIO JACUÍ
85110000,91.46,0,CGH COLORADO JUSANTE,RIO COLORADO
85130000,30.65,0,CGH RP 1 BARRAMENTO,ARROIO BUTIÁ
85130400,28.92,0,CGH RP 1 JUSANTE,ARROIO BUTIÁ
85140000,75.43,0,UHE PASSO REAL MONTANTE 1,RIO JACUÍ
85170100,48.26,0,CGH MIRIM BARRAMENTO,RIO JACUÍ-MIRIM
85170150,33.28,0,CGH MIRIM JUSANTE,RIO JACUÍ-MIRIM
85180000,49.60,0,UHE PASSO REAL RIO JACUÍ-MIRIM 2,RIO JACUÍ-MIRIM
85189400,0.00,1,UHE PASSO REAL RIO JACUÍ-MIRIM 1,RIO JACUÍ-MIRIM
85219300,0.00,1,UHE PASSO REAL RESERVATÓRIO 11,RIO JACUÍ-MIRIM
85233700,0.00,1,UHE PASSO REAL RESERVATÓRIO 10,RIO JACUÍ
85233800,0.00,1,UHE PASSO REAL RESERVATÓRIO 9,RIO JACUÍ
85234250,0.00,1,UHE PASSO REAL RESERVATÓRIO 8,RIO JACUÍ
85234300,0.00,1,UHE PASSO REAL RESERVATÓRIO 7,RIO JACUÍ
85234750,0.00,1,UHE PASSO REAL RESERVATÓRIO 6,RIO JACUÍ
85235000,0.00,1,UHE PASSO REAL RESERVATÓRIO 5,RIO JACUÍ
85235250,0.00,1,UHE PASSO REAL RESERVATÓRIO 4,RIO JACUÍ
85240000,66.29,0,UHE PASSO REAL RIO INGAÍ 2,RIO INGAÍ
85259650,0.00,1,UHE PASSO REAL RIO INGAÍ 1,RIO INGAÍ
85259950,0.00,1,UHE PASSO REAL RESERVATÓRIO 2,RIO JACUÍ
85260001,66.57,0,UHE PASSO REAL BARRAMENTO,RIO JACUÍ
85260110,0.00,1,UHE PASSO REAL JUSANTE,RIO JACUÍ
85279600,0.00,1,UHE PASSO REAL RESERVATÓRIO 3,RIO JACUÍ
85279900,0.00,1,UHE PASSO REAL RESERVATÓRIO 1,RIO JACUÍ
85290000,49.95,0,UHE JACUÍ ARROIO LAJEADO PELADO,ARROIO LAJEADO PELADO
85300000,68.14,0,UHE JACUÍ BARRAMENTO,RIO JACUÍ
85300650,0.00,1,UHE JACUÍ ALÇA,RIO JACUÍ
85300700,0.00,1,UHE JACUÍ JUSANTE,RIO JACUÍ
85306000,93.37,0,PCH ERNESTO JORGE DREHER PONTE BR158,RIO IVAÍ
85309000,90.33,0,PCH ERNESTO JORGE DREHER PONTE RINCÃO DO IVAI,RIO IVAÍ
85310000,91.52,0,PCH ERNESTO JORGE DREHER MONTANTE 1,RIO IVAÍ
85311000,96.61,0,PCH ERNESTO JORGE DREHER  BARRAMENTO,RIO IVAÍ
85349000,89.39,0,PCH ENGENHEIRO HENRIQUE KOTZIAN BARRAMENTO,RIO IVAÍ
85350000,93.79,0,PCH ENGENHEIRO HENRIQUE KOTZIAN JUSANTE,RIO IVAÍ
85365000,68.98,0,UHE ITAÚBA BARRAMENTO,RIO JACUÍ
85365500,54.88,0,UHE ITAÚBA ARROIO POVINHO,ARROIO POVINHO
85380500,95.22,0,UHE DONA FRANCISCA RIO JACUIZINHO,RIO JACUIZINHO
85382000,91.83,0,UHE DONA FRANCISCA ARROIO CARIJINHO,ARROIO CARIJINHO
85395100,96.55,0,UHE DONA FRANCISCA BARRAMENTO,RIO JACUÍ
85395300,92.59,0,UHE DONA FRANCISCA JUSANTE,RIO JACUÍ
85400000,92.36,0,DONA FRANCISCA,RIO JACUÍ
85418000,0.00,1,NOVA PALMA,RIO SOTURNO
85436000,0.00,1,SANTA MARIA - ARROIO CADENA,ARROIO CADENA
85438001,0.00,1,RESTINGA SECA,RIO VACACAÍ-MIRIM
