nome_estacao;cod_estacao;bacia;sub_bacia;operadora;responsavel;municipio_uf;municipio;uf;latitude;longitude;altitude;cod_rio;nome_rio;origem;status_estacao
PARQUE DE EVENTOS PINHAL DA SERRA;02751066;7;70;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;PINHAL DA SERRA-RS;PINHAL DA SERRA;RS;-27.87920;-51.17690;0.00;0;;RHN;Ativo
UHE FOZ DO CHAPECÓ NONOAI;02752032;7;73;00442 - FOZ DO CHAPECÓ - Foz do Chapecó Energia S.A;00442 - FOZ DO CHAPECÓ - Foz do Chapecó Energia S.A;NONOAI-RS;NONOAI;RS;-27.33250;-52.78720;594.00;0;;Setor Elétrico;Ativo
UHE ITÁ ERECHIM PLU;02752035;7;73;00804 - CONS.ITÁ - Consórcio UHE Itá;00804 - CONS.ITÁ - Consórcio UHE Itá;ERECHIM-RS;ERECHIM;RS;-27.65750;-52.32030;767.00;0;;Setor Elétrico;Ativo
CGH RIO FORTALEZA BARRAMENTO;02753057;7;74;00179 - CRELUZ G - CRELUZ G;00179 - CRELUZ G - CRELUZ G;ERVAL SECO-RS;ERVAL SECO;RS;-27.47360;-53.45780;341.00;74203100;ARROIO FORTALEZA;Setor Elétrico;Ativo
CGH LINHA GRANJA VELHA BARRAMENTO;02753058;7;74;00179 - CRELUZ G - CRELUZ G;00179 - CRELUZ G - CRELUZ G;TAQUARUÇU DO SUL-RS;TAQUARUÇU DO SUL;RS;-27.42670;-53.54000;277.00;0;;Setor Elétrico;Ativo
CGH CAA YARI BARRAMENTO;02754026;7;74;00179 - CRELUZ G - CRELUZ G;00179 - CRELUZ G - CRELUZ G;CRISSIUMAL-RS;CRISSIUMAL;RS;-27.42860;-54.12170;184.00;74301600;LAJEADO GRANDE;Setor Elétrico;Ativo
VACARIA;02850045;7;70;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;VACARIA-RS;VACARIA;RS;-28.48970;-50.93610;956.00;0;;RHN;Ativo
GUAPORÉ;02851044;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;GUAPORÉ-RS;GUAPORÉ;RS;-28.84440;-51.87920;520.00;0;;RHN;Ativo
UHE MACHADINHO LAGOA VERMELHA;02851061;7;72;00808 - CONS.MACHADINHO - Consórcio UHE Machadinho;00808 - CONS.MACHADINHO - Consórcio UHE Machadinho;LAGOA VERMELHA-RS;LAGOA VERMELHA;RS;-28.22220;-51.51250;805.00;0;;Setor Elétrico;Ativo
IBIRAIARAS;02851072;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;IBIRAIARAS-RS;IBIRAIARAS;RS;-28.38110;-51.63310;788.00;0;;RHN;Ativo
CGH SÃO DOMINGOS DO PRATA BARRAMENTO;02851080;8;86;01187 - DOMINGOS PRATA - Usina São Domingos do Prata Ltda.;01187 - DOMINGOS PRATA - Usina São Domingos do Prata Ltda.;VISTA ALEGRE DO PRATA-RS;VISTA ALEGRE DO PRATA;RS;-28.80920;-51.73640;411.00;0;;Setor Elétrico;Ativo
CSG IPÊ - 1171;02851092;8;86;01398 - CSG - Concessionária da Serra Gaucha;01398 - CSG - Concessionária da Serra Gaucha;IPÊ-RS;IPÊ;RS;-28.66780;-51.17310;814.00;0;;RHN;Ativo
CSG ANTÔNIO PRADO - 1248;02851093;8;86;01398 - CSG - Concessionária da Serra Gaucha;01398 - CSG - Concessionária da Serra Gaucha;ANTÔNIO PRADO-RS;ANTÔNIO PRADO;RS;-28.93830;-51.18810;336.00;0;;RHN;Ativo
CSG CAPELA DE SANTANA - 1250;02851156;8;87;01398 - CSG - Concessionária da Serra Gaucha;01398 - CSG - Concessionária da Serra Gaucha;CAPELA DE SANTANA-RS;CAPELA DE SANTANA;RS;-29.67390;-51.41690;-2.00;0;;RHN;Ativo
CSG SÃO SEBASTIÃO DO CAI - 1257;02851157;8;87;01398 - CSG - Concessionária da Serra Gaucha;01398 - CSG - Concessionária da Serra Gaucha;SÃO SEBASTIÃO DO CAÍ-RS;SÃO SEBASTIÃO DO CAÍ;RS;-29.63970;-51.29280;60.00;0;;RHN;Ativo
AULER;02852004;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;SOLEDADE-RS;SOLEDADE;RS;-28.80390;-52.38170;700.00;0;;RHN;Ativo
UHE PASSO FUNDO PLU;02852057;7;73;00112 - ENGIE - Engie Brasil Energia S.A.;00112 - ENGIE - Engie Brasil Energia S.A.;PASSO FUNDO-RS;PASSO FUNDO;RS;-28.22670;-52.40330;684.00;0;;Setor Elétrico;Ativo
CGH LINHA CURUÇU JUSANTE;02852079;8;85;01321 - LINHA CURUÇÚ - CGH Linha Curuçú Ltda.;01321 - LINHA CURUÇÚ - CGH Linha Curuçú Ltda.;SOLEDADE-RS;SOLEDADE;RS;-28.85220;-52.68670;499.00;0;;Setor Elétrico;Ativo
CGH JOÃO DO PASSO BARRAMENTO;02853056;7;75;01190 - MFB - MFB Participações Ltda.;01190 - MFB - MFB Participações Ltda.;CONDOR-RS;CONDOR;RS;-28.24500;-53.41560;439.00;75101100;RIO PALMEIRA;Setor Elétrico;Ativo
CGH MOINHO BARRAMENTO;02853058;7;75;01265 - Moinho Geração - Moinho Geração e Comércio de Energia Elétrica...;01265 - Moinho Geração - Moinho Geração e Comércio de Energia Elétrica...;BOA VISTA DO CADEADO-RS;BOA VISTA DO CADEADO;RS;-28.54390;-53.81140;0.00;0;;Setor Elétrico;Ativo
SANTA TECLA TUPANCIRETÃ;02854036;7;75;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;TUPANCIRETA-RS;TUPANCIRETA;RS;-28.90030;-54.15890;0.00;0;;RHN;Ativo
CGH COOPERMIL JUSANTE;02854039;7;74;01211 - COOPERMIL - Cooperativa Mista São Luiz LTDA.;01211 - COOPERMIL - Cooperativa Mista São Luiz LTDA.;GUARANI DAS MISSÕES-RS;GUARANI DAS MISSÕES;RS;-28.13890;-54.54640;245.00;0;;Setor Elétrico;Ativo
CAPÃO DOS COXOS;02950045;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.40830;-50.58420;890.00;0;;RHN;Ativo
AEROPORTO CAPÁO DA CANOA;02950104;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;CAPÃO DA CANOA-RS;CAPÃO DA CANOA;RS;-29.76610;-50.03830;0.00;0;;RHN;Ativo
FAZENDA TAIPAS - S.F. DE PAULA;02950108;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.46860;-50.45190;0.00;0;;RHN;Ativo
PZ_PAROBÉ;02950118;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00082 - SGB-CPRM - Serviço Geológico do Brasil;PAROBÉ-RS;PAROBÉ;RS;-29.66810;-50.82310;0.00;0;;Poços;Ativo
MORRO REUTER;02951142;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;MORRO REUTER-RS;MORRO REUTER;RS;-29.52890;-51.03690;492.00;0;;RHN;Ativo
CGH BOA VISTA BARRAMENTO;02951146;8;86;01044 - CERTEL - Certel Energias Renováveis S.A;01044 - CERTEL - Certel Energias Renováveis S.A;ESTRELA-RS;ESTRELA;RS;-29.47280;-51.86810;33.00;0;;Setor Elétrico;Ativo
CSG CARLOS BARBOSA - 1197;02951154;8;87;01398 - CSG - Concessionária da Serra Gaucha;01398 - CSG - Concessionária da Serra Gaucha;CARLOS BARBOSA-RS;CARLOS BARBOSA;RS;-29.33610;-51.41560;171.00;0;;RHN;Ativo
CSG FARROUPILHA - 1215;02951155;8;87;01398 - CSG - Concessionária da Serra Gaucha;01398 - CSG - Concessionária da Serra Gaucha;FARROUPILHA-RS;FARROUPILHA;RS;-29.32280;-51.34720;365.00;0;;RHN;Ativo
FAZ. SÃO JOSÉ LINHA CARVALHO;02952065;8;85;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;SINIMBU-RS;SINIMBU;RS;-29.38220;-52.71580;0.00;0;;RHN;Ativo
RINCÃO DO HERVAL CERRO BRANCO;02953073;8;85;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;CERRO BRANCO-RS;CERRO BRANCO;RS;-29.62920;-53.02890;0.00;0;;RHN;Ativo
FAZENDA SANTA TEREZA S.F. DE ASSIS;02954044;7;76;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;SÃO FRANCISCO DE ASSIS-RS;SÃO FRANCISCO DE ASSIS;RS;-29.32780;-54.94750;0.00;0;;RHN;Ativo
PZ_SÃO PEDRO DO SUL;02954053;7;76;00082 - SGB-CPRM - Serviço Geológico do Brasil;00082 - SGB-CPRM - Serviço Geológico do Brasil;SÃO PEDRO DO SUL-RS;SÃO PEDRO DO SUL;RS;-29.63530;-54.28390;0.00;0;;Poços;Ativo
FAZENDA CORDILHEIRA S.F. DE ASSIS;02955024;7;76;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;SÃO FRANCISCO DE ASSIS-RS;SÃO FRANCISCO DE ASSIS;RS;-29.42640;-55.15830;0.00;0;;RHN;Ativo
PZ_SÃO FRANCISCO DE ASSIS;02955026;7;76;00082 - SGB-CPRM - Serviço Geológico do Brasil;00082 - SGB-CPRM - Serviço Geológico do Brasil;SÃO FRANCISCO DE ASSIS-RS;SÃO FRANCISCO DE ASSIS;RS;-29.47080;-55.28580;0.00;0;;Poços;Ativo
AGROP. CERRO DO COQUEIRO URUGUAIANA;02956013;7;76;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;URUGUAIANA-RS;URUGUAIANA;RS;-29.77860;-56.52060;0.00;0;;RHN;Ativo
PZ_URUGUAIANA;02956017;7;76;00082 - SGB-CPRM - Serviço Geológico do Brasil;00082 - SGB-CPRM - Serviço Geológico do Brasil;URUGUAIANA-RS;URUGUAIANA;RS;-29.47060;-56.66780;0.00;0;;Poços;Ativo
PORTO ALEGRE - CPRM;03051043;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;PORTO ALEGRE-RS;PORTO ALEGRE;RS;-30.07220;-51.22810;10.00;0;;Açudes Semiárido;Ativo
ZONA DOS PACHECOS;03051074;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;BARÃO DO TRIUNFO-RS;BARÃO DO TRIUNFO;RS;-30.50530;-51.90030;0.00;0;;RHN;Ativo
BARRO VERMELHO;03053021;8;85;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;CACHOEIRA DO SUL-RS;CACHOEIRA DO SUL;RS;-30.14060;-53.15890;100.00;0;;RHN;Ativo
